A-HH-topleft,,A-NH-botleft,,B-HH-topright,,B-KS-botright,
X,Y,X,Y,X,Y,X,Y
-168.4731058415269,0,-188.5496183206107,-1.0349047258318294,-201.59395469022297,-0.42215011117120227,-190.25779552528036,0.3372188619413947
-136.5211104684789,0.18796992481203034,-166.793893129771,-0.7569488957520001,-179.72026921459053,-0.4389760230755346,-169.372834576311,0.04521698279405584
-106.92307692307693,0.07518796992481214,-140.83969465648858,-0.442427597459357,-125.80373775614453,-0.3073733549666482,-129.073932703036,-0.026865934582183115
-88.42105263157896,0.3383458646616546,-86.64122137404581,-0.5012819765747949,-85.11507721891712,0.5074815215431787,-100.76340360561403,0.07604674379000542
-68.35743204164257,0.7518796992481205,-67.93893129770996,-0.3366645300390445,-64.01658554173423,0.568174989483806,-85.51001233190436,0.9604204592166319
-53.70156159629843,1.015037593984962,-48.473282442748115,1.297127207039214,-35.45460008412954,1.1615888468241096,-66.04909272417649,1.483351929062188
-43.603238866396794,1.6541353383458643,-27.09923664122141,1.3271371132218377,-10.77909981371306,2.0079923081545594,-30.709378119678263,1.9245111280756362
-35.10121457489879,1.9172932330827068,-9.54198473282446,1.835703047607943,3.5634877711676154,0.5931133946277285,-13.532796993364286,2.713459392800516
-28.510699826489315,2.2556390977443606,5.343511450381641,1.0284948429578655,8.572201189832413,-0.29535484646355314,6.048505490633488,4.012860414586882
-10.387507229612481,2.556390977443609,8.396946564885468,0.18763475321950907,9.973859744005836,-2.3541253530436865,8.115567561219109,2.345410769863175
4.106419895893566,1.7669172932330826,17.93893129770987,-1.667152263854092,13.391623099573394,-3.606754401778737,14.178753890422172,1.4529625932233223
13.77096587622907,-0.41353383458646675,36.641221374045756,-3.0292523745702518,21.172105041764326,-4.016585541734271,18.679898995830627,0.4853485231076391
24.430306535569684,-1.1278195488721803,28.244274809160288,-4.113833692675254,26.898924343488943,-5.713298479658674,26.17006283398905,-1.2030947207704479
36.57605552342392,-2.1804511278195484,46.183206106870216,-3.5290775595827775,37.825250886364984,-5.8563187308455,33.23154618591809,-3.156527100827997
47.449392712550605,-1.503759398496241,58.39694656488547,-3.5719072315133147,44.53758788534344,-4.9384051439216385,49.06629866697983,-3.522373597979918
58.51937536148063,-2.048872180451127,72.51908396946561,-3.3864576656372023,53.52592993209544,-4.887626945496063,68.2453461741735,-2.317517176581127
72.83689994216309,-1.484962406015038,94.6564885496183,-3.1277314841792467,66.4518358271738,-4.436031488492278,91.13277350402245,-2.193610899054555
91.31868131868134,-1.3533834586466167,113.35877862595419,-3.2112056406969316,86.08557178054207,-3.1242112853794843,114.80122144576899,-2.0321216747900657
122.18623481781378,-0.7142857142857135,142.7480916030534,-2.4781481265660545,122.01790757766969,-3.1903130821465044,138.42269070409293,-2.173644958600036
169.13823019086175,-0.5263157894736832,171.75572519083966,-1.7640289027445952,139.65957574664992,-2.3769605191995655,172.74355511186786,-0.8040695284514641
-187.70965876229036,-0.03759398496240607,193.1297709923664,-1.2760037293863995,186.9463974520762,-2.1056426897422025,195.6779611251394,-0.37715074285043215
193.80566801619432,-0.18796992481203034,-106.87022900763361,-0.6080647980886908,200.67003184904752,-1.4431224085091028,,
