Target -16,,Target -8,,Target 0,,Target +8,,Target +16,
X,Y,X,Y,X,Y,X,Y,X,Y
-200.61121948634369,0.3597564207067627,-198.11425852497894,-0.2980593180016111,-199.0318687114572,0.16455696202532266,-200.7303085687251,0.5968485569982818,-199.82108892134386,1.4826424531881024
-150.4367115281246,-0.45889410155530275,-150.17389373512972,0.2187114988104497,-151.89061992859453,0.8101265822784836,-149.51713401581964,0.0237941705045408,-152.0327978266745,1.4882813243480193
-66.14394193667249,1.2007257915948477,-65.30842188739001,1.5318737509912683,-67.56379827977918,1.6075949367088658,-63.63147271263472,1.259162879669514,-63.23986392607037,2.6190602473540885
-32.89834627527091,2.7706715591144127,-35.1330055511491,2.1258404440919847,-37.74165246673158,1.9683544303797529,-33.87426024778631,2.172503920543644,-34.46537943740708,3.7302883767435944
-11.922060682840026,2.9742414645040975,-9.01430610626386,3.607544488501188,-12.599653115871376,1.512658227848103,-9.108634353501657,2.889178027658115,-10.746084575454177,2.9508451327938907
4.7554995873887265,3.443744842362407,7.167898493260054,2.351368120539254,4.5064508276534525,0.48101265822784,4.602393916384642,-0.36840010022346803,5.274704638111075,2.3764517492047403
13.404936695124718,1.5617086890578609,15.368120539255301,1.2985503568596357,13.895904333008787,-1.1582278481012693,15.98971310396422,-1.625904459562765,14.635687557812957,1.2811302104679534
32.74793883767347,-0.6507645290808721,32.84478984932633,-2.5123831879460727,28.05577531645588,-3.727848101265824,26.429996833040263,-2.7627438336493917,29.760652505199175,-4.049993592191868
72.5922822814486,-2.5964714818918004,66.47321173671708,-3.833056938937345,67.16721437844876,-3.5063291139240533,67.17770460277546,-2.408481856118275,66.91020567160797,-4.204029686550321
118.8057245676415,-0.9284429044786568,115.3245995241873,-2.397167961934949,118.8012211944174,-2.721518987341774,120.49938759391188,-2.772079369864027,119.73693727073032,-2.446513835155642
198.84367973310248,-0.4540033362186646,161.90528152260117,-1.20202252180807,164.05337147030173,-1.2278481012658204,168.50973553977576,-0.6593177936083414,162.44186976034786,-0.5649732711924038
,,199.40694686756547,-0.9381557494052082,199.48905590717288,-0.7531645569620231,201.13857929418782,0.1459955764312042,200.02360103590792,0.19563989894696476
