Square A,,Diamond A,,Circle A,,Square B,,Diamond B,,Circle B,,Square C,,Diamond C,,Circle C,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-147.23469137959293,0.8919753086419746,-162.07551618267462,0.43701956673654685,-147.24171230153593,0.5401428682351108,-156.80356242419288,0.3602566956342699,-156.92280959973834,0.9310910321581289,-148.03037736620468,0.5589262757176456,-118.91739243423177,0.41734125408726186,-162.7775113210035,0.05325853156863758,-105.49484625479536,-0.13353367884850442
-63.729249974118005,0.9101735383181913,-107.6240539616602,0.3278301886792443,-92.47501068528149,0.828281504775215,-110.38659934311843,0.6166949074263428,-110.2630933398749,0.9844683393070532,-90.85561551984955,0.4422911811603143,-93.9502828012763,0.7558252834966659,-119.00123094878165,0.06633733983841594,-66.379987291547,0.8297149609866281
-28.79454657021327,1.365129280223619,-49.15592229706408,1.4955499262365084,-48.573185775796304,0.7979511219815194,-90.4126974392521,0.8352768730135018,-60.907539147144206,0.732118602105114,-50.09863444948692,1.4371533314253817,-66.94380130189501,1.260030109999665,-94.53505644026177,0.16811729650197904,-50.36473504965545,0.9006423442958287
-13.856833044318421,2.2386443046820403,-28.914604335438355,2.132487964904106,-29.385006105618345,1.707862605792375,-60.18779726617336,1.0234981291443184,-49.387410223912184,1.7031691735072947,-30.94242746364668,1.9985993188904256,-50.8153670653611,1.8048127775448108,-66.92912956184878,0.391183637547698,-32.89069265459588,1.4974048908619046
-5.339050543089002,2.384230142091776,-16.508635262183816,2.67843485519062,-13.359751770755054,1.8140189455703073,-49.26390422066865,2.0709426053880104,-32.30525232702348,1.6441134294276338,-6.590450686182351,3.2170783154879032,-32.71253581117736,2.2432882086407027,-51.379181075709056,1.3048557691123364,-17.13743577067271,2.3319893570344803
11.346872546609063,1.1649487537852306,9.823332484981393,0.691794782203587,-3.8218293112099673,2.830086769159095,-31.312945473377255,2.7471308751001366,-13.400316175368346,2.383256636578526,6.411750275971997,3.9717804398290184,-17.495845420373485,2.691991938511684,-33.238622489977956,1.9012829616202076,-5.708150274659772,2.7387179372874826
18.255459738506318,0.14584789191707337,32.827383231171666,-1.2038541424023617,4.863051132262456,3.376033659445609,-6.454168199844673,3.6228972748045543,-3.298376875587735,1.9090314403696045,15.65766520844403,1.874430831338314,-6.236332916324102,2.3879375924107684,-15.636726360229773,3.033326477415777,5.618433041029505,1.785194565140138
32.58235305536152,-1.619380386675985,49.000076926837664,-3.675780340088517,13.077529805554946,1.8898449025545458,6.32231489431291,2.7795358218515407,10.248954031917322,1.5092316241995363,-60.383703340283745,1.3660593010525623,5.0965382879564345,1.4607395138320882,3.648227949107252,0.04850768241081127,13.499253408718573,-0.5707794783976645
49.226150613401785,-3.0206440717447016,65.91698834845994,-2.932685961642987,32.07263412230077,-2.8568600046587473,16.424254194093464,2.3053106256426137,29.796973165978386,-1.392222509929688,27.73144173242298,-3.8392124083689545,13.218394384976534,0.1139017237597173,13.400743154122438,-0.9832090776400619,29.78069293430599,-2.1762311396849086
65.68459583214718,-3.2936175168879593,89.27559565277107,-1.6891402671014841,49.628449440734755,-2.568721368118645,29.43071398394585,-2.4828609630931844,47.558414080706484,-3.5951910453320863,48.53581503740952,-3.925448937223738,30.765795480267172,-1.7730237770430044,30.40948179343019,-1.4042460977095779,49.191405015467865,-2.7739997484255845
89.94047696077172,-2.6748777078965773,115.62160524382227,-2.007609286435283,66.3821244271827,-2.530808389626525,48.04179102443544,-3.0817278499317773,67.44926884446073,-2.235016119189627,67.25762159804839,-2.8056990307286647,49.76150691440711,-2.247717446424442,49.398905338978864,-0.9749929032141793,66.35314894382913,-0.6939103100999304
115.88559190887844,-2.4746971814581897,149.77488003547273,-0.7488984004969339,90.25150380284595,-2.295747922975389,67.67498671245755,-2.4888043937473547,89.8123730869346,-1.3834020045639441,99.14346457336762,-2.301188837555813,108.0208906751214,-2.0664026856245634,66.43279553265148,-1.2907287490090376,91.6556126349841,-0.8119549385861689
149.9314465948014,-2.0015432098765444,,,116.5729401670967,-1.1128629940212758,90.2723264783242,-1.8656148687221048,109.14319200839492,-1.2279264014003708,-12.940362783978685,2.826969698346293,152.45111146083235,-1.1760376611047967,91.33493031683076,-1.2242727531424968,116.14065080927764,-0.6311991012166196
-48.85753311448724,1.1770809069027095,,,150.64898481737436,-0.18778631881357288,109.22410973465799,-1.9128973202320374,148.18386551644244,-0.7142171403997253,,,,,115.61246816761337,-0.9819794460933302,,
,,,,,,-13.884757826021769,3.1269110464021725,-91.16177791103175,0.6365746944958914,,,,,150.81206850138216,-0.5959869251056666,,
